year,name,price,mileage,location,page,url,model,mileage_mid
2020,Honda JAZZ HYBRID 1.5L (A) I-VTEC F/S RECORD,55800.0,55000 - 59999,Kuala Lumpur,83,https://www.mudah.my/honda-jazz-hybrid-1-5l-a-i-vtec-f-s-record-108487870.htm,hybrid,57499.5
2015,2015 Honda CITY 1.5 E (A) LEATHER SEAT 2Y WARRANTY,33888.0,90000 - 94999,Selangor,83,https://www.mudah.my/2015-honda-city-1-5-e-a-leather-seat-2y-warranty-108663272.htm,city,92499.5
2011,2011 Honda CIVIC 1.8 S-L iVTEC (A) BLACK INTERIOR,31888.0,100000 - 109999,Selangor,83,https://www.mudah.my/2011-honda-civic-1-8-s-l-ivtec-a-black-interior-108310869.htm,civic,104999.5
2014,2014 Honda CIVIC 1.8 S (A) 2Y WARRANTY FB MUGEN,34888.0,90000 - 94999,Selangor,83,https://www.mudah.my/2014-honda-civic-1-8-s-a-2y-warranty-fb-mugen-108491770.htm,civic,92499.5
2016,2016 Honda HR-V 1.8 V (A) DUAL LED 2 YEAR WARRANTY,47888.0,85000 - 89999,Selangor,83,https://www.mudah.my/2016-honda-hr-v-1-8-v-a-dual-led-2-year-warranty-108375092.htm,hr-v,87499.5
2020,2020 Honda CR-V 2.0 2WD FuSrvRcd59KKM F/LonOTR 1DR,89888.0,50000 - 54999,Kuala Lumpur,84,https://www.mudah.my/2020-honda-cr-v-2-0-2wd-fusrvrcd59kkm-f-lonotr-1dr-108697146.htm,cr-v,52499.5
2018,2018 Honda ACCORD 2.0 VTI-L (A),74780.0,75000 - 79999,Kuala Lumpur,84,https://www.mudah.my/2018-honda-accord-2-0-vti-l-a-107539084.htm,accord,77499.5
2015,2015 Honda CITY 1.5 V (A),36780.0,130000 - 139999,Kuala Lumpur,84,https://www.mudah.my/2015-honda-city-1-5-v-a-108021856.htm,city,134999.5
2014,2014 Honda JAZZ 1.5 E (A) DP500 BULANAN 800X5TAHUN,36800.0,140000 - 149999,Kuala Lumpur,84,https://www.mudah.my/2014-honda-jazz-1-5-e-a-dp500-bulanan-800x5tahun-108479715.htm,jazz,144999.5
2018,2018 Honda CIVIC 1.5 TC (A) BREMBO,88888.0,100000 - 109999,Kuala Lumpur,84,https://www.mudah.my/2018-honda-civic-1-5-tc-a-brembo-108562000.htm,civic,104999.5
2004,Y-2004 Honda CITY 1.5 i-DSI (A) siap Tukar Nama,6777.0,190000 - 199999,Negeri Sembilan,84,https://www.mudah.my/y-2004-honda-city-1-5-i-dsi-a-siap-tukar-nama-108432378.htm,city,194999.5
2016,Y-2016 Honda JAZZ 1.5 (A) MUGEN BODYKIT 1OWNER,38777.0,110000 - 119999,Kuala Lumpur,84,https://www.mudah.my/y-2016-honda-jazz-1-5-a-mugen-bodykit-1owner-107523596.htm,jazz,114999.5
2022,2022 ⚠️MILEAGE 6K⚠️Honda ACCORD TC-P 1.5L (A),150800.0,5000 - 9999,Johor,84,https://www.mudah.my/2022-mileage-6k-honda-accord-tc-p-1-5l-a-108388736.htm,accord,7499.5
2016,Honda HR-V 1.8 S - Aunty Owner /FULL LEATHER SEAT,48800.0,85000 - 89999,Selangor,84,https://www.mudah.my/honda-hr-v-1-8-s-aunty-owner-full-leather-seat-108719261.htm,hr-v,87499.5
2015,2015 Honda CIVIC 1.8 S 2Y-WARANTY TRUE YEAR MAKE,37888.0,70000 - 74999,Selangor,84,https://www.mudah.my/2015-honda-civic-1-8-s-2y-waranty-true-year-make-108629132.htm,civic,72499.5
2018,2018 Honda CITY 1.5 V FACELIFT (A)Full Service Rec,55800.0,55000 - 59999,Kuala Lumpur,84,https://www.mudah.my/2018-honda-city-1-5-v-facelift-a-full-service-rec-108340478.htm,city,57499.5
2015,2015 Honda CITY 1.5 E (A) FREE 3 Tahun Warranty,33800.0,90000 - 94999,Kuala Lumpur,84,https://www.mudah.my/2015-honda-city-1-5-e-a-free-3-tahun-warranty-108511713.htm,city,92499.5
2020,2020 Honda CIVIC TYPE R 2.0 FK8 PRL MUGEN JC's FL5,238000.0,35000 - 39999,Selangor,84,https://www.mudah.my/2020-honda-civic-type-r-2-0-fk8-prl-mugen-jc-s-fl5-108667722.htm,civic,37499.5
2017,2017 Honda BR-V 1.5 E (A) FREE WARRANTY V,40770.0,85000 - 89999,Selangor,84,https://www.mudah.my/2017-honda-br-v-1-5-e-a-free-warranty-v-106139052.htm,br-v,87499.5
2015,2015 Honda CR-V 2.0 4WD FACELIFT (A) LEATHER SEAT,52800.0,95000 - 99999,Selangor,84,https://www.mudah.my/2015-honda-cr-v-2-0-4wd-facelift-a-leather-seat-108733374.htm,cr-v,97499.5
2015,2015 Honda CIVIC 2.0 S PADDLE SHIFTER 2 YEAR WRTY,39888.0,85000 - 89999,Selangor,84,https://www.mudah.my/2015-honda-civic-2-0-s-paddle-shifter-2-year-wrty-108642825.htm,civic,87499.5
2017,2017 Honda CIVIC 1.5 TC (A) Si EDITION LIMITED,70888.0,75000 - 79999,Selangor,84,https://www.mudah.my/2017-honda-civic-1-5-tc-a-si-edition-limited-107405100.htm,civic,77499.5
2012,2012 h CIVIC 1.8 S i-VTEC (A)NO REPAIR,31800.0,130000 - 139999,Selangor,84,https://www.mudah.my/2012-h-civic-1-8-s-i-vtec-a-no-repair-104801570.htm,civic,134999.5
2016,2016 Honda ACCORD 2.0 VTi-L (A),48780.0,85000 - 89999,Kuala Lumpur,84,https://www.mudah.my/2016-honda-accord-2-0-vti-l-a-108432130.htm,accord,87499.5
2005,2005 Honda CITY 1.5 VTEC FACELIFT (A),10800.0,180000 - 189999,Johor,84,https://www.mudah.my/2005-honda-city-1-5-vtec-facelift-a-108550983.htm,city,184999.5
2018,2018 Honda CR-V 1.5 TC-P 2WD (A)-WARRANTY 2 YEARS,92700.0,75000 - 79999,Selangor,84,https://www.mudah.my/2018-honda-cr-v-1-5-tc-p-2wd-a-warranty-2-years-108532806.htm,cr-v,77499.5
2019,2019 Honda CR-V 2.0 2WD (A) L/MILEAGE 1yr WARRANTY,88999.0,95000 - 99999,Selangor,84,https://www.mudah.my/2019-honda-cr-v-2-0-2wd-a-l-mileage-1yr-warranty-108621416.htm,cr-v,97499.5
2003,-2003 H CIVIC 1.7 (A) ONE OWNER ! SIAP TUKAR Nama,8888.0,85000 - 89999,Negeri Sembilan,84,https://www.mudah.my/2003-h-civic-1-7-a-one-owner-siap-tukar-nama-97039134.htm,civic,87499.5
2014,2014 Honda CITY 1.5 E FACELIFT (A)FULL LOAN,29900.0,70000 - 74999,Selangor,84,https://www.mudah.my/2014-honda-city-1-5-e-facelift-a-full-loan-108178129.htm,city,72499.5
2018,Honda HR-V 1.8 E Full Loan 3Year Warranty 2018 HRV,51800.0,70000 - 74999,Kuala Lumpur,84,https://www.mudah.my/honda-hr-v-1-8-e-full-loan-3year-warranty-2018-hrv-108660745.htm,hr-v,72499.5
2018,Honda HR-V 1.8 FULL LOAN 3TAHUN WARANTY 2018 HRV E,49800.0,65000 - 69999,Kuala Lumpur,84,https://www.mudah.my/honda-hr-v-1-8-full-loan-3tahun-waranty-2018-hrv-e-108433014.htm,hr-v,67499.5
2014,Honda CR-V 2.0 i-VTEC FACELIFT AUNTY OWNER LIKENEW,49800.0,80000 - 84999,Selangor,84,https://www.mudah.my/honda-cr-v-2-0-i-vtec-facelift-aunty-owner-likenew-108048832.htm,cr-v,82499.5
2011,2011 Honda CITY 1.5 E 2Y-WARRANTY MODULO 1 OWNER,21888.0,85000 - 89999,Selangor,84,https://www.mudah.my/2011-honda-city-1-5-e-2y-warranty-modulo-1-owner-108290438.htm,city,87499.5
2017,2017 Honda ACCORD 2.0 VTi-L FACELIFT (A),73800.0,85000 - 89999,Perak,84,https://www.mudah.my/2017-honda-accord-2-0-vti-l-facelift-a-108733253.htm,accord,87499.5
2018,2018 Honda CITY 1.5 V FACELIFT (A) LOWMILE WARANTY,53888.0,75000 - 79999,Selangor,84,https://www.mudah.my/2018-honda-city-1-5-v-facelift-a-lowmile-waranty-108077476.htm,city,77499.5
2013,2013 Honda CITY 1.5 E FACELIFT (A) 2 YEAR WARRANTY,24888.0,90000 - 94999,Selangor,84,https://www.mudah.my/2013-honda-city-1-5-e-facelift-a-2-year-warranty-108310740.htm,city,92499.5
2015,2015 Honda ACCORD 2.0 VTi-L (A) FREE WARRANTY,45770.0,80000 - 84999,Selangor,84,https://www.mudah.my/2015-honda-accord-2-0-vti-l-a-free-warranty-107431848.htm,accord,82499.5
2018,2018 Honda JAZZ 1.5 S (A) FREE WARRANTY,48770.0,55000 - 59999,Selangor,84,https://www.mudah.my/2018-honda-jazz-1-5-s-a-free-warranty-106901946.htm,jazz,57499.5
2019,2019 Honda HR-V 1.8 V ENHANCED (A) FSR HONDA HRV,72500.0,70000 - 74999,Selangor,84,https://www.mudah.my/2019-honda-hr-v-1-8-v-enhanced-a-fsr-honda-hrv-108722156.htm,hr-v,72499.5
2019,2019 Honda CR-V 1.5 TC-P 2WD (A) 2 YEARS WARRANTY,94888.0,85000 - 89999,Selangor,84,https://www.mudah.my/2019-honda-cr-v-1-5-tc-p-2wd-a-2-years-warranty-108628415.htm,cr-v,87499.5
2021,2021 Honda ACCORD TC-P 1.5L (A) UNDER WARRANTY,126888.0,45000 - 49999,Selangor,84,https://www.mudah.my/2021-honda-accord-tc-p-1-5l-a-under-warranty-108627816.htm,accord,47499.5
2011,2011 Honda CITY TMO E 1.5 (A) FULL LOAN #6115,24900.0,95000 - 99999,Selangor,84,https://www.mudah.my/2011-honda-city-tmo-e-1-5-a-full-loan-6115-108256755.htm,city,97499.5
2016,2016 h CIVIC 1.5 TC LOW MILEAGE CAR KING CONDITION,74800.0,110000 - 119999,Selangor,84,https://www.mudah.my/2016-h-civic-1-5-tc-low-mileage-car-king-condition-108407634.htm,civic,114999.5
2018,2018 Honda HR-V 1.8 V ENHANCED F/LonOTR FreWaranty,55888.0,75000 - 79999,Kuala Lumpur,84,https://www.mudah.my/2018-honda-hr-v-1-8-v-enhanced-f-lonotr-frewaranty-108120031.htm,hr-v,77499.5
2012,2012 Honda CITY TMO 1.5 E (A) FULL LOAN #1099,25900.0,90000 - 94999,Selangor,84,https://www.mudah.my/2012-honda-city-tmo-1-5-e-a-full-loan-1099-108281873.htm,city,92499.5
2021,2021 Honda CIVIC 1.8 S 1Dr F/LonOTR NewFacelife,79888.0,65000 - 69999,Kuala Lumpur,85,https://www.mudah.my/2021-honda-civic-1-8-s-1dr-f-lonotr-newfacelife-106809348.htm,civic,67499.5
